event_date,event_type,event_name,affected_industries,direction,magnitude,description
2020-02-20,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),"801780,801790,801180",+,高,新冠疫情冲击下首次降息，货币宽松正式开启，银行、非银、房地产直接受益
2020-04-20,monetary_policy,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(-10bp),"801780,801790,801180,801710",+,高,2020年幅度最大的一次降息，疫情应对宽松力度空前
2020-09-22,industry_policy,双碳目标宣布：2030年碳达峰、2060年碳中和,"801730,801160,801050,801770",+,高,习近平在第75届联合国大会一般性辩论上宣布双碳目标，新能源、电力、有色金属直接受益
2021-07-26,industry_policy,教育双减政策：学科类培训机构不得上市融资,801760,-,高,中办、国办印发双减意见，K12学科类培训监管骤紧，传媒（教育）板块重大利空
2021-12-06,monetary_policy,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,"801780,801790,801180",+,高,央行宣布自2021年12月15日起下调金融机构存款准备金率0.5个百分点
2021-12-20,monetary_policy,LPR下调：1年期降至3.80%(-5bp)，5年期维持4.65%不变,"801780,801790",+,中,时隔20个月1年期LPR再次下调，向市场释放宽信用信号
2022-01-20,monetary_policy,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(-5bp),"801780,801790,801180,801710",+,高,5年期LPR时隔21个月首次下调，货币政策明显转向宽松，稳增长意图明确
2022-04-15,monetary_policy,央行降准0.25个百分点：释放长期资金约5300亿元,"801780,801790,801180",+,中,央行宣布自4月25日起下调金融机构存款准备金率0.25个百分点，对小微企业贷款占比较高的城商行额外多降0.25个百分点
2022-05-20,monetary_policy,LPR非对称下调：1年期维持3.70%，5年期大降至4.45%(-15bp),"801180,801710,801720",+,高,5年期单独大幅下调15bp为历史最大单次降幅，明确托底房地产市场信号
2022-08-22,monetary_policy,LPR双降：1年期降至3.65%(-5bp)，5年期降至4.30%(-15bp),"801780,801790,801180,801710",+,高,楼市持续低迷背景下再度双降，2022年全年降息幅度创LPR改革以来新高
2022-11-25,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,"801780,801790,801180,801710",+,中,央行宣布自12月5日起下调金融机构存款准备金率0.25个百分点，配合金融16条出台，房地产融资环境改善预期升温
2022-11-28,industry_policy,房地产金融16条：支持房企合理融资需求,"801180,801780,801710,801720",+,高,央行、银保监会发布16条金融支持房地产措施，标志房地产融资政策全面转向
2023-03-17,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,"801780,801790,801180",+,中,央行宣布自3月27日起下调存款准备金率0.25个百分点，为2023年首次降准，全面降准支持经济复苏
2023-06-20,monetary_policy,LPR双降：1年期降至3.55%(-10bp)，5年期降至4.20%(-10bp),"801780,801790,801180,801710",+,高,时隔10个月后重启降息，配合经济复苏预期不及预期的政策应对
2023-07-24,capital_market_policy,政治局会议：活跃资本市场，提振投资者信心,"801790,801780,801750,801760",+,高,7月政治局会议首次提出活跃资本市场，证监会随后密集出台降印花税等系列举措
2023-08-15,monetary_policy,央行降息：MLF降15bp至2.50%、7天逆回购降10bp至1.80%,"801780,801790,801180,801710",+,高,央行同步下调MLF和OMO利率，幅度超市场预期，MLF 15bp为2020年4月以来最大单次降幅
2023-08-21,monetary_policy,LPR非对称下调：1年期降至3.45%(-10bp)，5年期维持4.20%,"801780,801790",+,中,1年期单降，5年期暂不调整为后续存量房贷利率下调保留空间
2023-08-27,capital_market_policy,证监会：印花税减半、阶段性收紧IPO、规范减持,"801790,801780",+,高,证监会一次性推出三项重磅举措，股票交易印花税由0.1%降至0.05%
2023-09-15,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,"801780,801790,801180",+,中,央行宣布自9月15日起下调存款准备金率0.25个百分点，不含已执行5%的金融机构，下半年首次降准
2023-10-07,geopolitical,巴以冲突爆发：哈马斯袭击以色列引发中东局势骤紧,"801960,801030,801040",+,高,哈马斯对以色列发动大规模袭击，以色列宣布进入战争状态，中东地缘风险升级推升原油价格（Brent短线涨10%+），利好石油石化、化工
2023-10-31,industry_policy,中央金融工作会议：加快建设金融强国（五年一度重磅会议）,"801780,801790,801180",+,高,中央金融工作会议在京举行（10月30-31日），首次提出建设金融强国目标，加强党中央对金融工作集中统一领导，会议规格5年一度
