event_date,industry_code,event_type,event_name,real_CAR,real_dir,pred_dir,dir_correct,llm_raw_response
2020-01-01,801780,monetary_policy,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,-0.010662,-,+,False,+
2020-01-01,801790,monetary_policy,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,-0.019126,-,+,False,+
2020-01-01,801180,monetary_policy,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,-0.010388,-,+,False,+
2020-02-03,801780,monetary_policy,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基点（至2.4%、2.55%）,-0.026806,-,+,False,+
2020-02-03,801790,monetary_policy,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基点（至2.4%、2.55%）,-0.027079,-,+,False,+
2020-02-03,801180,monetary_policy,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基点（至2.4%、2.55%）,-0.02662,-,+,False,+
2020-02-17,801780,monetary_policy,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.15%,-0.032234,-,+,False,+
2020-02-17,801790,monetary_policy,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.15%,0.020116,+,+,True,+
2020-02-17,801180,monetary_policy,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.15%,-0.046862,-,+,False,+
2020-02-20,801780,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),-0.012185,-,+,False,+
2020-02-20,801790,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),0.0052,+,+,True,+
2020-02-20,801180,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),-0.008532,-,+,False,+
2020-03-13,801780,monetary_policy,央行宣布定向降准：对达到普惠金融考核标准的银行下调存款准备金率0.5-1个百分点，并对符合条件的股份,0.006871,+,+,True,+
2020-03-13,801790,monetary_policy,央行宣布定向降准：对达到普惠金融考核标准的银行下调存款准备金率0.5-1个百分点，并对符合条件的股份,-0.008571,-,+,False,+
2020-03-13,801180,monetary_policy,央行宣布定向降准：对达到普惠金融考核标准的银行下调存款准备金率0.5-1个百分点，并对符合条件的股份,-0.008969,-,+,False,+
2020-03-30,801780,monetary_policy,央行开展500亿元7天逆回购操作，中标利率下调20个基点至2.2%,-0.027682,-,+,False,+
2020-03-30,801790,monetary_policy,央行开展500亿元7天逆回购操作，中标利率下调20个基点至2.2%,-0.018241,-,+,False,+
2020-03-30,801180,monetary_policy,央行开展500亿元7天逆回购操作，中标利率下调20个基点至2.2%,-0.01619,-,+,False,+
