event_date,event_type,confidence,event_name,official_source,notes
2020-01-01,monetary_policy,high,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,PBoC/gov.cn 降准公告；新华社2020-01-02报道(xinhuanet c_138674539)确认'周三宣布'(2020-01-01为周三)，释放约8000亿元,全面降准50bp，释放长期资金约8000亿元；影响银行、地产、券商等利率敏感板块
2020-02-03,monetary_policy,high,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基点（至2.4%、2.55%）,PBoC公开市场操作公告；SCMP/Economic Times/ceifx多源确认2020-02-03春节后开市首日逆回购-10bp、投放1.2万亿元,OMO利率下调+史上最大单日逆回购投放，疫情后流动性维稳；关乎全市场无风险利率与银行、地产
2020-02-17,monetary_policy,high,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.15%,PBoC MLF公告；WSJ 2020-02-17文章(11581908545)、gov.cn(202003/16 content_WS5e6ef0e1)确认1年期3.15%,MLF政策利率-10bp，为2月20日LPR下调提供锚定；影响银行净息差与整体贷款定价
2020-03-13,monetary_policy,medium,央行宣布定向降准：对达到普惠金融考核标准的银行下调存款准备金率0.5-1个百分点，并对符合条件的股份制银行额外下调1个百分点,PBoC定向降准公告；ETAuto/Reuters报道($79亿美元/约5500亿元，普惠金融定向降准50-100bp),结构性定向降准，释放长期资金约5500亿元；主要利好中小银行及普惠信贷相关板块
2020-03-30,monetary_policy,high,央行开展500亿元7天逆回购操作，中标利率下调20个基点至2.2%,gov.cn国务院/PBoC公告(english.www.gov.cn/statecouncil/ministries/202003/30 content_WS5e81919f)确认'March 30...20 basis points',7天逆回购利率-20bp，为疫情期间最大幅度OMO降息；引导市场利率与银行、地产板块
2020-04-03,monetary_policy,medium,央行宣布对中小银行定向降准1个百分点（分4月15日、5月15日两次实施），并将金融机构超额存款准备金利率由0.72%下调至0.35%,PBoC公告；Reuters/Yahoo Finance报道对中小银行定向降准100bp分两次、超额准备金利率降至0.35%(2008年来首次调整),定向降准约4000亿元+12年来首次下调超额准备金利率；主要影响中小银行、农商行流动性
2020-04-15,monetary_policy,high,央行开展中期借贷便利（MLF）操作，1年期中标利率下调20个基点至2.95%,PBoC MLF公告；Economic Times确认1年期MLF降至2.95%(为2014年该工具设立以来最低),MLF政策利率-20bp，创历史新低，为4月20日LPR下调铺垫；注意与既有集合中2024-04-15不同
2020-06-12,capital_market_policy,high,证监会发布创业板改革并试点注册制相关制度规则（首发注册管理办法等，试行）,"CSRC / 深交所；SZSE Weekly Bulletin：""On June 12th, the CSRC released the Administrative Measures on IPO Registration on the ChiNext Market (For Trial Implementation)""（https://mondovisione.com/_assets/files/SZSE_Bulletin_17_P020200617497503178975.pdf）+ gov.cn 2020-06-13",创业板注册制配套规则落地，文本涉及创业板IPO/再融资注册、信息披露与发行承销；主要影响券商、创投及创业板成长型行业
2020-08-04,industry_policy,high,国务院印发《新时期促进集成电路产业和软件产业高质量发展的若干政策》（国发〔2020〕8号）,"中国政府网 gov.cn 2020-08-04 发布（正文落款2020-07-27）；CSET 译本注明 PRC Central Government website, August 4, 2020, notice dated July 27, 2020 (https://cset.georgetown.edu/wp-content/uploads/t0195_IC_software_policy_EN-1.pdf)",国务院对集成电路与软件产业的财税、投融资、研发、进出口八方面扶持政策；正文涉及半导体制造、设计、封测、装备材料及软件行业。用 gov.cn 发布日 08-04（市场可获知日）而非落款日 07-27。
2020-08-17,geopolitical,medium,美国商务部BIS扩大对华为的外国直接产品规则(FDPR)，并新增38家华为关联实体至出口管制实体清单,美国商务部BIS 2020-08-17 新闻稿与联邦公报IFR(85 FR 51596)；多家律所(JDSupra/Mayer Brown)一致引述当日发布,美对华出口管制升级，FDPR切断华为通过第三方获取含美技术芯片；直接涉及半导体、通信设备、电子元器件产业链
2020-11-05,industry_policy,high,国家组织冠脉支架集中带量采购在天津开标并产生拟中选结果（首次高值医用耗材国家集采，10个品种中选）,国家卫健委 en.nhc.gov.cn 2020-11/06/c_82076.htm（结果公布）；国家医保局主办、天津开标；Reuters 2020-11-05报道,首次国家级高值医用耗材集采，冠脉支架；文本涉及医疗器械/心血管耗材行业（乐普、微创等）
2020-11-10,industry_policy,high,市场监管总局发布《关于平台经济领域的反垄断指南（征求意见稿）》公开征求意见,国务院 english.www.gov.cn 202011/14；China Justice Observer 20201110；多家律所（Lexology/Paul Weiss）确认2020-11-10 SAMR发布,平台经济反垄断监管起点征求意见稿；文本针对互联网平台（电商/本地生活/社交）行业
2020-12-18,geopolitical,high,美国商务部BIS将中芯国际(SMIC)等逾60家中国实体列入出口管制实体清单(合计77家),美国商务部BIS 2020-12-18新闻稿，2020-12-22联邦公报刊登；Reuters/Lexology/Hughes Hubbard均确认12月18日生效,对华最大芯片制造商SMIC加征出口许可要求；涉及半导体制造、无人机(大疆)、电子设备板块
2020-12-31,capital_market_policy,high,沪深交易所发布退市制度改革相关业务规则（退市新规），当日施行,"上交所/深交所；gov.cn英文站：""The Shanghai and Shenzhen stock exchanges released new delisting rules on Dec 31, 2020, which took effect on the same day""；Global Times 2021-01（""released on Thursday, effective immediately""）",重构财务类/交易类/规范类/重大违法退市标准（含面值退市、组合财务指标）；文本面向全市场上市公司质量与壳公司，涉ST板块
2021-02-07,industry_policy,high,国务院反垄断委员会印发《关于平台经济领域的反垄断指南》正式稿,国务院 english.www.gov.cn 202102/07/content_WS601ffe31...；Reuters 2021-02-07；SAMR公布,平台经济首部正式反垄断指南（六章24条）；文本约束互联网平台经营行为
2021-04-10,industry_policy,high,市场监管总局对阿里巴巴集团作出反垄断行政处罚决定（罚款182.28亿元，按2019年销售额4%计）,SAMR行政处罚决定书日期2021-04-10；Lexology/China Justice Observer确认SAMR issued decision on 10 April 2021,平台反垄断标志性执法（'二选一'滥用市场支配地位）；文本涉及电商/互联网平台行业
2021-06-23,industry_policy,high,第五批国家组织药品集中带量采购在上海开标（251个品种、148家企业中选，平均降价约56%）,国务院 english.www.gov.cn 202106/24/content_WS60d3d573...；上海阳光医药采购网(SMPAA)公布；Eversana 2021-06-25,第五批国家药品集采，规模最大之一；文本涉及仿制药/制药行业
2021-07-09,monetary_policy,high,央行宣布全面下调金融机构存款准备金率0.5个百分点（自7月15日起实施）,PBoC降准公告；Reuters(idUSKBN2EJ02L)确认'on Friday...50bps...effective July 15'(2021-07-09为周五)，释放约1万亿元,全面降准50bp，释放长期资金约1万亿元；关乎银行、地产、券商等利率敏感板块
2021-09-02,capital_market_policy,high,国家在服贸会致辞中宣布设立北京证券交易所,最高领导人服贸会（CIFTIS）致辞；Reuters 2021-09-02（https://www.reuters.com/world/china/xi-says-china-set-up-stock-exchange-beijing-2021-09-02/）+ gov.cn + Wikipedia,宣布设立服务创新型中小企业的北交所（基于新三板精选层）；文本涉券商、新三板/中小市值、创投行业
2021-10-08,industry_policy,high,市场监管总局对美团作出反垄断行政处罚决定（罚款34.42亿元，按2020年中国境内销售额3%计）,新华社 news.cn 2021-10/08/c_1310232862；Reuters 2021-10-08；SAMR公布,平台反垄断执法（餐饮外卖'二选一'滥用市场支配地位）；文本涉及本地生活/外卖平台行业
2021-11-26,industry_policy,high,国家组织胰岛素专项集中带量采购产生拟中选结果（42个产品、11家企业中选，平均降价约48%）,国家医保局主办；Novo Nordisk官方新闻稿2021-11-26确认收到VBP招标结果；新华社/gov.cn 2021-11-28,首次生物药（胰岛素）专项国家集采；文本涉及糖尿病用药/制药行业（含外资药企诺和诺德、赛诺菲、礼来）
2021-12-03,industry_policy,high,2021年国家医保药品目录谈判调整结果公布（新增74种药品，谈判新增药品平均降价约61.7%）,"国家医保局(NHSA)发布，日期2021-12-03；BioWorld 'released the new list on Dec. 3, 2021'；natlawreview确认",年度国家医保谈判（创新药以价换量进医保）；文本涉及创新药/制药行业
