event_date,event_type,event_name,affected_industries,direction,magnitude,description
2020-01-01,monetary_policy,央行宣布全面下调金融机构存款准备金率0.5个百分点（自1月6日起实施）,"801780,801790,801180",,,全面降准50bp，释放长期资金约8000亿元；影响银行、地产、券商等利率敏感板块
2020-02-03,monetary_policy,央行开展1.2万亿元逆回购操作并下调7天、14天逆回购中标利率10个基点（至2.4%、2.55%）,"801780,801790,801180",,,OMO利率下调+史上最大单日逆回购投放，疫情后流动性维稳；关乎全市场无风险利率与银行、地产
2020-02-17,monetary_policy,央行开展中期借贷便利（MLF）操作，1年期中标利率下调10个基点至3.15%,"801780,801790,801180",,,MLF政策利率-10bp，为2月20日LPR下调提供锚定；影响银行净息差与整体贷款定价
2020-02-20,monetary_policy,LPR下调：1年期降至4.05%(-10bp)，5年期降至4.75%(-5bp),"801780,801790,801180",+,高,新冠疫情冲击下首次降息，货币宽松正式开启，银行、非银、房地产直接受益
2020-03-13,monetary_policy,央行宣布定向降准：对达到普惠金融考核标准的银行下调存款准备金率0.5-1个百分点，并对符合条件的股份制银行额外下调1个百分点,"801780,801790,801180",,,结构性定向降准，释放长期资金约5500亿元；主要利好中小银行及普惠信贷相关板块
2020-03-30,monetary_policy,央行开展500亿元7天逆回购操作，中标利率下调20个基点至2.2%,"801780,801790,801180",,,7天逆回购利率-20bp，为疫情期间最大幅度OMO降息；引导市场利率与银行、地产板块
2020-04-03,monetary_policy,央行宣布对中小银行定向降准1个百分点（分4月15日、5月15日两次实施），并将金融机构超额存款准备金利率由0.72%下调至0.35%,"801780,801790,801180",,,定向降准约4000亿元+12年来首次下调超额准备金利率；主要影响中小银行、农商行流动性
2020-04-15,monetary_policy,央行开展中期借贷便利（MLF）操作，1年期中标利率下调20个基点至2.95%,"801780,801790,801180",,,MLF政策利率-20bp，创历史新低，为4月20日LPR下调铺垫；注意与既有集合中2024-04-15不同
2020-04-20,monetary_policy,LPR下调：1年期降至3.85%(-20bp)，5年期降至4.65%(-10bp),"801780,801790,801180,801710",+,高,2020年幅度最大的一次降息，疫情应对宽松力度空前
2020-06-12,capital_market_policy,证监会发布创业板改革并试点注册制相关制度规则（首发注册管理办法等，试行）,"801790,801780,801750",,,创业板注册制配套规则落地，文本涉及创业板IPO/再融资注册、信息披露与发行承销；主要影响券商、创投及创业板成长型行业
2020-08-04,industry_policy,国务院印发《新时期促进集成电路产业和软件产业高质量发展的若干政策》（国发〔2020〕8号）,"801080,801750,801770",,,国务院对集成电路与软件产业的财税、投融资、研发、进出口八方面扶持政策；正文涉及半导体制造、设计、封测、装备材料及软件行业。用 gov.cn 发布日 08-04（市场可获知日）而非落款日 07-27。
2020-08-17,geopolitical,美国商务部BIS扩大对华为的外国直接产品规则(FDPR)，并新增38家华为关联实体至出口管制实体清单,"801080,801880,801110,801890,801750,801770",,,美对华出口管制升级，FDPR切断华为通过第三方获取含美技术芯片；直接涉及半导体、通信设备、电子元器件产业链
2020-09-22,industry_policy,双碳目标宣布：2030年碳达峰、2060年碳中和,"801730,801160,801050,801770",+,高,习近平在第75届联合国大会一般性辩论上宣布双碳目标，新能源、电力、有色金属直接受益
2020-11-05,industry_policy,国家组织冠脉支架集中带量采购在天津开标并产生拟中选结果（首次高值医用耗材国家集采，10个品种中选）,801150,,,首次国家级高值医用耗材集采，冠脉支架；文本涉及医疗器械/心血管耗材行业（乐普、微创等）
2020-11-10,industry_policy,市场监管总局发布《关于平台经济领域的反垄断指南（征求意见稿）》公开征求意见,"801760,801750",,,平台经济反垄断监管起点征求意见稿；文本针对互联网平台（电商/本地生活/社交）行业
2020-12-18,geopolitical,美国商务部BIS将中芯国际(SMIC)等逾60家中国实体列入出口管制实体清单(合计77家),"801080,801880,801110,801890,801750,801770",,,对华最大芯片制造商SMIC加征出口许可要求；涉及半导体制造、无人机(大疆)、电子设备板块
2020-12-31,capital_market_policy,沪深交易所发布退市制度改革相关业务规则（退市新规），当日施行,"801790,801780,801750",,,重构财务类/交易类/规范类/重大违法退市标准（含面值退市、组合财务指标）；文本面向全市场上市公司质量与壳公司，涉ST板块
2021-02-07,industry_policy,国务院反垄断委员会印发《关于平台经济领域的反垄断指南》正式稿,"801760,801750",,,平台经济首部正式反垄断指南（六章24条）；文本约束互联网平台经营行为
2021-04-10,industry_policy,市场监管总局对阿里巴巴集团作出反垄断行政处罚决定（罚款182.28亿元，按2019年销售额4%计）,"801760,801750",,,平台反垄断标志性执法（'二选一'滥用市场支配地位）；文本涉及电商/互联网平台行业
2021-06-23,industry_policy,第五批国家组织药品集中带量采购在上海开标（251个品种、148家企业中选，平均降价约56%）,801150,,,第五批国家药品集采，规模最大之一；文本涉及仿制药/制药行业
2021-07-09,monetary_policy,央行宣布全面下调金融机构存款准备金率0.5个百分点（自7月15日起实施）,"801780,801790,801180",,,全面降准50bp，释放长期资金约1万亿元；关乎银行、地产、券商等利率敏感板块
2021-07-26,industry_policy,教育双减政策：学科类培训机构不得上市融资,801760,-,高,中办、国办印发双减意见，K12学科类培训监管骤紧，传媒（教育）板块重大利空
2021-09-02,capital_market_policy,国家在服贸会致辞中宣布设立北京证券交易所,"801790,801780,801750",,,宣布设立服务创新型中小企业的北交所（基于新三板精选层）；文本涉券商、新三板/中小市值、创投行业
2021-10-08,industry_policy,市场监管总局对美团作出反垄断行政处罚决定（罚款34.42亿元，按2020年中国境内销售额3%计）,"801760,801750",,,平台反垄断执法（餐饮外卖'二选一'滥用市场支配地位）；文本涉及本地生活/外卖平台行业
2021-11-26,industry_policy,国家组织胰岛素专项集中带量采购产生拟中选结果（42个产品、11家企业中选，平均降价约48%）,801150,,,首次生物药（胰岛素）专项国家集采；文本涉及糖尿病用药/制药行业（含外资药企诺和诺德、赛诺菲、礼来）
2021-12-03,industry_policy,2021年国家医保药品目录谈判调整结果公布（新增74种药品，谈判新增药品平均降价约61.7%）,801150,,,年度国家医保谈判（创新药以价换量进医保）；文本涉及创新药/制药行业
2021-12-06,monetary_policy,央行全面降准0.5个百分点，释放长期资金约1.2万亿元,"801780,801790,801180",+,高,央行宣布自2021年12月15日起下调金融机构存款准备金率0.5个百分点
2021-12-20,monetary_policy,LPR下调：1年期降至3.80%(-5bp)，5年期维持4.65%不变,"801780,801790",+,中,时隔20个月1年期LPR再次下调，向市场释放宽信用信号
2022-01-17,monetary_policy,中国人民银行下调1年期MLF利率10个基点至2.85%、7天期逆回购利率10个基点至2.10%（含7000亿元MLF操作）,"801780,801790,801180",,,全面货币宽松，降低政策利率；政策文本涉及银行、非银金融及利率敏感行业（地产、基建）；为2020年4月以来首次MLF降息
2022-01-20,monetary_policy,LPR双降：1年期降至3.70%(-10bp)，5年期降至4.60%(-5bp),"801780,801790,801180,801710",+,高,5年期LPR时隔21个月首次下调，货币政策明显转向宽松，稳增长意图明确
2022-01-24,monetary_policy,中国人民银行下调14天期逆回购利率10个基点,"801780,801790,801180",,,春节前OMO操作利率下调，延续1月宽松；政策文本涉及银行体系流动性、货币市场；为相对小型的公开市场操作调整
2022-04-15,monetary_policy,央行降准0.25个百分点：释放长期资金约5300亿元,"801780,801790,801180",+,中,央行宣布自4月25日起下调金融机构存款准备金率0.25个百分点，对小微企业贷款占比较高的城商行额外多降0.25个百分点
2022-04-25,monetary_policy,中国人民银行下调金融机构外汇存款准备金率1个百分点（9%→8%），5月15日起生效,"801780,801790,801180",,,外汇存款准备金率首次下调，增加外汇资金供给；政策文本涉及银行、外汇及跨境相关业务，与人民币汇率流动性管理相关
2022-05-20,monetary_policy,LPR非对称下调：1年期维持3.70%，5年期大降至4.45%(-15bp),"801180,801710,801720",+,高,5年期单独大幅下调15bp为历史最大单次降幅，明确托底房地产市场信号
2022-08-15,monetary_policy,中国人民银行下调1年期MLF利率10个基点至2.75%、7天期逆回购利率10个基点至2.0%（含4000亿元MLF操作）,"801780,801790,801180",,,MLF利率由2.85%降至2.75%，逆回购降至2.0%；政策文本涉及银行、非银金融及利率敏感行业（地产、基建）；此次降息为LPR于8月22日下调铺垫
2022-08-22,monetary_policy,LPR双降：1年期降至3.65%(-5bp)，5年期降至4.30%(-15bp),"801780,801790,801180,801710",+,高,楼市持续低迷背景下再度双降，2022年全年降息幅度创LPR改革以来新高
2022-09-05,monetary_policy,中国人民银行下调金融机构外汇存款准备金率2个百分点（8%→6%），9月15日起生效,"801780,801790,801180",,,年内第二次下调外汇存款准备金率，释放外汇流动性；政策文本涉及银行、外汇及跨境相关业务，与人民币汇率管理相关
2022-10-07,geopolitical,美国商务部BIS发布对华先进计算芯片及半导体制造设备出口管制新规(EAR),"801080,801880,801110,801890,801750,801770,801030",,,美方系统性限制先进制程芯片、AI计算芯片及制造设备对华出口；直接冲击半导体、电子、AI算力产业链
2022-11-25,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,"801780,801790,801180,801710",+,中,央行宣布自12月5日起下调金融机构存款准备金率0.25个百分点，配合金融16条出台，房地产融资环境改善预期升温
2022-11-28,industry_policy,房地产金融16条：支持房企合理融资需求,"801180,801780,801710,801720",+,高,央行、银保监会发布16条金融支持房地产措施，标志房地产融资政策全面转向
2023-02-01,capital_market_policy,证监会就全面实行股票发行注册制主要制度规则公开征求意见,"801790,801780,801750",,,全面注册制征求意见稿发布（主板注册制、发行承销、持续监管等一揽子规则）；文本面向全市场IPO与券商投行业务
2023-02-17,capital_market_policy,证监会发布全面实行股票发行注册制相关制度规则（主板注册制正式落地）,"801790,801780,801750",,,全面注册制正式规则出台，主板纳入注册制；文本涉券商投行、全市场IPO定价与再融资。发布日为2月中旬，具体日期未在本次检索中独立复核
2023-03-17,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,"801780,801790,801180",+,中,央行宣布自3月27日起下调存款准备金率0.25个百分点，为2023年首次降准，全面降准支持经济复苏
2023-05-21,geopolitical,中国网信办宣布美光公司(Micron)在华销售产品未通过网络安全审查,"801080,801750,801770",,,中方要求关键信息基础设施运营者停止采购美光产品；涉及存储芯片、半导体、信创/国产替代板块
2023-06-13,monetary_policy,中国人民银行下调7天期逆回购利率10个基点至1.90%,"801780,801790,801180",,,10个月来首次下调7天逆回购政策利率，启动新一轮宽松；政策文本涉及银行、非银金融及利率敏感行业
2023-06-15,monetary_policy,中国人民银行下调1年期MLF利率10个基点至2.65%（含2370亿元MLF操作）,"801780,801790,801180",,,MLF利率由2.75%降至2.65%，紧随6月13日逆回购降息；政策文本涉及银行、非银金融及利率敏感行业（地产、基建）；为6月20日LPR下调铺垫
2023-06-20,monetary_policy,LPR双降：1年期降至3.55%(-10bp)，5年期降至4.20%(-10bp),"801780,801790,801180,801710",+,高,时隔10个月后重启降息，配合经济复苏预期不及预期的政策应对
