event_date,event_type,event_name,affected_industries,direction,magnitude,description,sources,verify_status,priority
# ============================================================================
# Tier M 候选事件骨架（25 件，从 ≤2025-Q4 往前找）
# ============================================================================
# verify_status 全部 TODO：每行的 event_date / 关键参数 / affected_industries
# 必须用 PBOC / 证监会 / 商务部 / USTR / EC 官网原文核对后改为 VERIFIED 才能进 production
# 来源候选：
#   - PBOC: http://www.pbc.gov.cn/zhengwugongkai/
#   - 证监会: http://www.csrc.gov.cn/csrc/
#   - 国务院: http://www.gov.cn/zhengce/
#   - USTR: https://ustr.gov/about-us/policy-offices/press-office
#   - BIS: https://www.bis.doc.gov/index.php/press-releases
#   - 欧委会: https://policy.trade.ec.europa.eu/news
# 配额：mp 6 / ip 7 / cmp 5 / geo 5 / me 2 = 25
# 与现有 25 件零重复（已对照 event_library.csv 1-26 行）
# ============================================================================

# --- monetary_policy（6 件，全部为现有 LPR/降准之外的独立降准/降息事件）-----
2022-04-15,monetary_policy,央行降准0.25个百分点：释放长期资金约5300亿元,"801780,801790,801180",+,中,央行宣布自4月25日起下调金融机构存款准备金率0.25个百分点，对小微企业贷款占比较高的城商行额外多降0.25个百分点。需核对：PBOC公告原文与释放资金口径。,PBOC公告 2022-04-15,TODO,高
2022-11-25,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,"801780,801790,801180,801710",+,中,央行宣布自12月5日起下调金融机构存款准备金率0.25个百分点。配合"金融16条"出台，房地产融资环境改善预期升温。需核对：PBOC公告日与生效日。,PBOC公告 2022-11-25,TODO,高
2023-03-17,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,"801780,801790,801180",+,中,央行宣布自3月27日起下调存款准备金率0.25个百分点。2023年首次降准，全面降准支持复苏。需核对：PBOC公告原文。,PBOC公告 2023-03-17,TODO,中
2023-08-15,monetary_policy,央行降息：MLF降15bp至2.50%、7天逆回购降10bp至1.80%,"801780,801790,801180,801710",+,高,央行同步下调MLF和OMO利率，幅度超市场预期。MLF 15bp为2020年4月以来最大单次降幅。需核对：PBOC操作公告与利率走廊。,PBOC公告 2023-08-15,TODO,高
2023-09-15,monetary_policy,央行降准0.25个百分点：释放长期资金约5000亿元,"801780,801790,801180",+,中,央行宣布自9月15日起下调存款准备金率0.25个百分点（不含已执行5%的金融机构）。下半年首次降准。需核对：公告日与生效日是否同日。,PBOC公告 2023-09-15,TODO,中
2024-01-24,monetary_policy,央行降准0.5pp+支农支小再贷款利率降25bp,"801780,801790,801180,801710",+,高,央行行长潘功胜在国新办发布会上宣布降准0.5个百分点（2月5日生效）、下调支农支小再贷款利率25bp。释放长期资金约1万亿元。需核对：国新办发布会原文。,PBOC国新办 2024-01-24,TODO,高

# --- industry_policy（7 件，覆盖宏观会议+房地产+化债+设备更新等）-----------
